ID,model_ID,model,B_0,B_1,B_2,B_3,N_max,N_0,r_max,t_lag,AIC/AIC_c,BIC,R_2
7,3,cubic,-1.313706278550638,0.04770099425020686,-0.0006624539077032701,2.656239560888343e-06,0.0,0.0,0.0,0.0,-12.367999092131871,-10.141419117296602,0.4476338902855147
7,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5,gompertz,0.0,0.0,0.0,0.0,-0.4381550126951766,-2.921631365662384,0.4194320997624161,-6.770283090261141,-43.015990598116446,-40.78941062328117,0.9149618990131788
7,6,baranyi,0.0,0.0,0.0,0.0,-0.4433406646361413,-1.6962045972086746,0.2891326769736311,-1.6235678594516818,-41.71004279637341,-39.48346282153813,0.9077645113394841
7,7,buchanan,0.0,0.0,0.0,0.0,-0.44656986392982806,-3.27563955811051,0.2424727785186803,-15.848737834711018,-39.70439840331556,-37.47781842848028,0.8954296905600949
8,1,linear,-1.3780072248990274,0.0009203488119806265,0.0,0.0,0.0,0.0,0.0,0.0,-130.3046688297104,-124.66431980128944,0.5493250084839141
8,2,quadratic,-1.599856891189586,0.0029773291560977527,-3.0636340124228997e-06,0.0,0.0,0.0,0.0,0.0,-191.02137240411403,-184.51218908416814,0.9473496343187618
8,3,cubic,-1.6709571661389087,0.004370947824585894,-8.341076218102329e-06,5.236955724982446e-09,0.0,0.0,0.0,0.0,-220.88830092100434,-213.71848843773864,0.9828748108006405
8,4,logistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5,gompertz,0.0,0.0,0.0,0.0,-0.901443427751654,-2.6500254493984445,0.01262155803806484,-176.97154286355305,-215.6360415774006,-208.4662290941349,0.9794756677429323
8,6,baranyi,0.0,0.0,0.0,0.0,-0.904556346322877,-1.6944890887495572,0.009715472920461363,-42.905729168030305,-217.40617357809728,-210.23636109483158,0.9806906975781056
8,7,buchanan,0.0,0.0,0.0,0.0,-0.9273942966763847,-1.9601021227819966,0.005782856062871226,-143.2061025791354,-192.53897185421232,-185.36915937094662,0.9544957607929769
